,id,DGRP,sex,exp_type,shock_color,shock_arm,treatment,replicates,ZT0,ZT,frac_time_on_shocked,activity,activity_shock,activity_noShock,activity_shock_color,activity_noShock_color,total_choices,correct_choices,incorrect_choices,analysis_time,bias_frac_time_on_shocked,bias_activity,bias_activity_shock,bias_activity_noShock,bias_activity_shock_color,bias_activity_noShock_color,bias_total_choices,bias_correct_choices,bias_incorrect_choices,bias_analysis_time,post_frac_time_on_shocked,post_activity,post_activity_shock,post_activity_noShock,post_activity_shock_color,post_activity_noShock_color,post_total_choices,post_correct_choices,post_incorrect_choices,post_analysis_time,group,group_sex,folder,experiment_date,experiment_by,head_scanned,abs_dev,abs_dev_sex
2528,1,DGRP_153,F,operant_place,green,L,shock,1,16:00:00,17:42:50,0.122615803814714,0.996907204491827,0.909304365856016,0.981289665061697,0.730694092250359,0.905776604294074,19.0,11.0,8.0,1200.0,0.707746478873239,1.1260095366413,,1.1260095366413,0.938587028267352,1.30315179960751,5.0,3.0,2.0,180.0,,,,,,,,,,,dgrp153_shock,dgrp153_shock_female,operant_place/20230414/csv/dgrp153_shock/female,20230414,riddha,True,0.168387444904016,0.130131636547249
2544,9,DGRP_153,M,operant_place,green,R,shock,1,16:00:00,17:42:50,0.338090295796575,3.09578052965183,2.35680363519343,3.00483668506271,1.91782540250356,2.6812410473646,151.0,95.0,56.0,1200.0,0.397356828193833,2.95244251144428,,2.95244251144428,1.68822192540769,2.83923020306692,28.0,17.0,11.0,180.0,,,,,,,,,,,dgrp153_shock,dgrp153_shock_male,operant_place/20230414/csv/dgrp153_shock/male,20230414,riddha,True,0.0470870470778452,0.0088312387210782
2592,1,DGRP_313,F,operant_place,green,L,shock,1,11:00:00,13:00:22,0.0245259165613148,0.78056593681745,2.43822873796654,0.724092630566413,1.7718259941308,0.627465808463113,30.0,25.0,5.0,1200.0,0.209634255129349,1.36707642856874,,1.36707642856874,1.51124000160667,1.22546379714854,12.0,8.0,4.0,180.0,,,,,,,,,,,dgrp313_shock,dgrp313_shock_female,operant_place/20230414/csv/dgrp313_shock/female,20230414,riddha,True,0.23560381163955,0.245171497792986
2608,9,DGRP_313,M,operant_place,green,R,shock,1,11:00:00,13:00:22,0.364050056882821,2.50557716484062,1.48884395685133,2.93333586419694,0.965209201531534,2.49665615013967,118.0,87.0,31.0,1200.0,0.191964285714286,3.146878933343,,3.146878933343,2.03267835778663,2.65625761517585,29.0,21.0,8.0,180.0,,,,,,,,,,,dgrp313_shock,dgrp313_shock_male,operant_place/20230414/csv/dgrp313_shock/male,20230414,riddha,True,0.103920328681956,0.113488014835392
2656,1,DGRP_721,F,operant_place,green,L,shock,1,11:00:00,14:09:47,0.0347470618293306,0.440622279542975,0.995518847976845,0.414477013303524,0.929313448459159,0.370908009697732,17.0,14.0,3.0,1200.0,0.304,1.69485071151444,,1.69485071151444,1.18722405982205,1.54183126824529,15.0,11.0,4.0,180.0,,,,,,,,,,,dgrp721_shock,dgrp721_shock_female,operant_place/20230414/csv/dgrp721_shock/female,20230414,riddha,True,0.236740098990084,0.20560484426028
2672,9,DGRP_721,M,operant_place,green,R,shock,1,11:00:00,14:09:47,0.22991442074339,1.90587074917254,1.33571753676342,1.99520983896924,0.941407266250237,1.77064714849274,96.0,71.0,25.0,1200.0,0.352626892252894,2.66508306717643,,2.66508306717643,1.44845251921005,2.36410317744011,22.0,14.0,8.0,180.0,,,,,,,,,,,dgrp721_shock,dgrp721_shock_male,operant_place/20230414/csv/dgrp721_shock/male,20230414,riddha,True,0.0415727400760249,0.0727079948058291
2720,1,DGRP_808,F,operant_place,green,L,shock,1,11:00:00,16:37:22,0.160424469413233,1.30920290627388,1.39410594032238,1.24480110230312,1.10206051558168,1.09351420191336,47.0,32.0,15.0,1200.0,0.522825150732127,1.89564131333196,,1.89564131333196,1.53439330111597,1.99000178144807,16.0,8.0,8.0,180.0,,,,,,,,,,,dgrp808_shock,dgrp808_shock_female,operant_place/20230414/csv/dgrp808_shock/female,20230414,riddha,True,0.119065421466714,0.117436559347881
2736,9,DGRP_808,M,operant_place,green,R,shock,1,11:00:00,16:37:22,0.0963674946947947,1.07313228134925,1.12965962308705,1.0362807424245,0.957281689864298,0.894083242208504,42.0,35.0,7.0,1200.0,0.454310344827586,1.71970074709368,,1.71970074709368,1.13915462767006,1.89359236468352,16.0,11.0,5.0,180.0,,,,,,,,,,,dgrp808_shock,dgrp808_shock_male,operant_place/20230414/csv/dgrp808_shock/male,20230414,riddha,True,0.183122396185153,0.184751258303986
2785,2,DGRP_765,F,operant_place,green,M,shock,1,11:00:00,11:32:20,0.359809571535956,0.959908569315507,0.790528085790637,1.01045382405606,0.751592807512992,0.772063674779429,33.0,21.0,12.0,1200.0,0.397727272727273,1.51671099448625,,1.51671099448625,1.16964833889653,1.42702129108229,13.0,8.0,5.0,180.0,,,,,,,,,,,dgrp765_shock,dgrp765_shock_female,operant_place/20230417/csv/dgrp765_shock/female,20230417,riddha,True,0.0663355152896435,0.054262875006639
2801,10,DGRP_765,M,operant_place,green,L,shock,1,11:00:00,11:32:20,0.282009521423202,2.36072405632445,2.27643395994708,2.12136153139706,1.87911052993952,1.7067416903646,111.0,68.0,43.0,1200.0,0.256118881118881,2.64263193730006,,2.64263193730006,2.34867225970606,1.83538667757439,24.0,16.0,8.0,180.0,,,,,,,,,,,dgrp765_shock,dgrp765_shock_male,operant_place/20230417/csv/dgrp765_shock/male,20230417,riddha,True,0.0114645348231102,0.0006081054598944
2849,2,DGRP_776,F,operant_place,green,M,shock,1,11:00:00,12:42:10,0.190097039064444,0.971078596157336,1.21999451290411,0.836468248698924,1.16347928187924,0.763863567656356,37.0,25.0,12.0,1200.0,0.137082601054482,1.37964453517879,,1.37964453517879,1.06334204408321,1.0993956417445,9.0,6.0,3.0,180.0,,,,,,,,,,,dgrp776_shock,dgrp776_shock_female,operant_place/20230417/csv/dgrp776_shock/female,20230417,riddha,True,0.109099528415243,0.131534942182307
2865,10,DGRP_776,M,operant_place,green,L,shock,1,11:00:00,12:42:10,0.16548463356974,1.26328194264492,1.39004297421712,1.14337918761717,1.12993106653705,1.00402954760275,55.0,42.0,13.0,1200.0,0.229551451187335,1.80313784293488,,1.80313784293488,1.55726636650044,1.20733580715033,13.0,8.0,5.0,180.0,,,,,,,,,,,dgrp776_shock,dgrp776_shock_male,operant_place/20230417/csv/dgrp776_shock/male,20230417,riddha,True,0.133711933909947,0.111276520142882
2913,2,DGRP_855,F,operant_place,green,M,shock,1,16:00:00,17:24:27,0.997993730407523,0.101120564618451,0.101196709621929,,0.0869835890228856,0.590368548070364,1.0,0.0,1.0,1200.0,0.517810599478714,0.754348622427586,,0.754348622427586,0.596795475516934,0.718807442277524,8.0,4.0,4.0,180.0,,,,,,,,,,,dgrp855_shock,dgrp855_shock_female,operant_place/20230417/csv/dgrp855_shock/female,20230417,riddha,True,0.741371015848502,0.756816905512091
2929,10,DGRP_855,M,operant_place,green,L,shock,1,16:00:00,17:24:27,0.123761755485893,1.29227107111204,1.27578042148986,1.27416927478366,1.24086504719124,1.16162871589054,56.0,48.0,8.0,1200.0,0.218260869565217,2.03061113477178,,2.03061113477178,1.43339759635133,1.73109741190636,17.0,12.0,5.0,180.0,,,,,,,,,,,dgrp855_shock,dgrp855_shock_male,operant_place/20230417/csv/dgrp855_shock/male,20230417,riddha,True,0.132860959073128,0.148306848736718
2978,3,DGRP_382,F,operant_place,green,R,shock,1,16:00:00,16:43:20,0.287899180227579,0.903508525395594,0.79324950445315,0.901645695367132,0.756919711795331,0.856198941094313,31.0,19.0,12.0,1200.0,0.699145299145299,1.15142470313115,,1.15142470313115,0.917509991167208,1.01944737182858,7.0,4.0,3.0,180.0,,,,,,,,,,,dgrp382_shock,dgrp382_shock_female,operant_place/20230419/csv/dgrp382_shock/female,20230419,riddha,True,0.0139390918138924,0.0227502148844579
2994,11,DGRP_382,M,operant_place,green,M,shock,1,16:00:00,16:43:20,0.372537021172439,1.3833335446229,1.07632271064256,1.61152087256092,1.04741741898359,1.45264101813111,66.0,43.0,23.0,1200.0,0.3,1.15782354780151,,1.15782354780151,0.976815653431316,1.16146925506798,10.0,6.0,4.0,180.0,,,,,,,,,,,dgrp382_shock,dgrp382_shock_male,operant_place/20230419/csv/dgrp382_shock/male,20230419,riddha,True,0.0985769327587529,0.0897658096881875
3040,1,DGRP_627,F,operant_place,green,L,shock,1,16:00:00,17:56:21,0.0486153846153846,1.40994128466271,2.24422569852845,1.33178246990462,1.76230056514621,1.18945727119046,73.0,63.0,10.0,1200.0,0.422715627668659,2.01805879447205,,2.01805879447205,1.17903188903567,2.21713649585515,22.0,15.0,7.0,180.0,,,,,,,,,,,dgrp627_shock,dgrp627_shock_female,operant_place/20230419/csv/dgrp627_shock/female,20230419,riddha,True,0.221654116569151,0.235895141688355
3056,9,DGRP_627,M,operant_place,green,R,shock,1,16:00:00,17:56:21,0.311961604725572,1.29614194712153,1.09837920790306,1.29985794179721,0.934649767725715,1.07029100142609,61.0,41.0,20.0,1200.0,0.196581196581197,2.21534082843828,,2.21534082843828,1.57124977432577,1.77647569229966,18.0,14.0,4.0,180.0,,,,,,,,,,,dgrp627_shock,dgrp627_shock_male,operant_place/20230419/csv/dgrp627_shock/male,20230419,riddha,True,0.0416921035410363,0.0559331286602403
3110,7,DGRP_440,F,operant_place,green,L,shock,1,11:00:00,12:47:10,0.161139193687585,0.788141974527229,1.03796597313484,0.704219643700889,0.996192842455693,0.656168341257562,21.0,16.0,5.0,1200.0,0.316780821917808,1.73107948792641,,1.73107948792641,1.26428696672667,1.65521427622152,16.0,10.0,6.0,180.0,,,,,,,,,,,dgrp440_shock,dgrp440_shock_female,operant_place/20230421/csv/dgrp440_shock/female,20230421,riddha,True,0.0970214612636517,0.0914893503928738
3126,15,DGRP_440,M,operant_place,green,R,shock,1,11:00:00,12:47:10,0.371425049309665,1.77035754013323,1.23059781580455,1.89622418400868,1.10832663170759,1.22627606771594,90.0,63.0,27.0,1200.0,0.36472602739726,2.32007542555166,,2.32007542555166,1.64023466081481,1.93280911593273,25.0,18.0,7.0,180.0,,,,,,,,,,,dgrp440_shock,dgrp440_shock_male,operant_place/20230421/csv/dgrp440_shock/male,20230421,riddha,True,0.113264394358428,0.10773228348765
3174,7,DGRP_563,F,operant_place,green,L,shock,1,11:00:00,13:51:28,0.313105308324139,1.16459145878798,0.92101685221994,1.17331550916031,0.928396006004308,1.07932725758885,68.0,53.0,15.0,1200.0,0.287052810902896,2.07190524366512,,2.07190524366512,1.54365336482481,1.39055886495165,22.0,14.0,8.0,180.0,,,,,,,,,,,dgrp563_shock,dgrp563_shock_female,operant_place/20230421/csv/dgrp563_shock/female,20230421,riddha,True,0.0754868362795179,0.0592185834918623
3190,15,DGRP_563,M,operant_place,green,R,shock,1,11:00:00,13:51:28,0.236361407380164,2.99940571462887,2.34345207665236,2.92085035250582,1.81715804257883,2.66003326306896,161.0,121.0,40.0,1200.0,0.2206132879046,3.48325591775391,,3.48325591775391,2.50100577948556,2.98430458201636,41.0,32.0,9.0,180.0,,,,,,,,,,,dgrp563_shock,dgrp563_shock_male,operant_place/20230421/csv/dgrp563_shock/male,20230421,riddha,True,0.0012570646644566,0.015011188123199
3238,7,DGRP_911,F,operant_place,green,L,shock,1,11:00:00,11:46:19,0.663227250124316,1.28100026200222,0.849761506319294,1.83373036345625,0.743429932286038,1.59558848077856,54.0,28.0,26.0,1200.0,0.478751084128361,1.9965020578908,,1.9965020578908,1.21919290125905,2.05490660945581,15.0,10.0,5.0,180.0,,,,,,,,,,,dgrp911_shock,dgrp911_shock_female,operant_place/20230421/csv/dgrp911_shock/female,20230421,riddha,True,0.404578769551065,0.386956027120182
3254,15,DGRP_911,M,operant_place,green,R,shock,1,11:00:00,11:46:19,0.153760099440646,2.28492505804184,2.61245300070393,2.05921109492766,2.01908911416583,1.75753579859288,118.0,90.0,28.0,1200.0,0.294270833333333,3.82543342835905,,3.82543342835905,1.70953939929341,3.77920662980812,39.0,30.0,9.0,180.0,,,,,,,,,,,dgrp911_shock,dgrp911_shock_male,operant_place/20230421/csv/dgrp911_shock/male,20230421,riddha,True,0.104888381132605,0.0872656387017225
3303,8,DGRP_227,F,operant_place,green,M,shock,1,11:00:00,12:00:58,0.268699799196787,1.01112474307544,0.889232162616608,0.99626203358933,0.830051701497368,0.891254012565603,53.0,32.0,21.0,1200.0,0.0606585788561525,0.572110862748482,,0.572110862748482,1.54518250616441,0.441844102791907,5.0,4.0,1.0,180.0,,,,,,,,,,,dgrp227_shock,dgrp227_shock_female,operant_place/20230424/csv/dgrp227_shock/female,20230424,riddha,True,1.278779679037e-05,0.0133023525103841
3319,16,DGRP_227,M,operant_place,green,L,shock,1,11:00:00,12:00:58,0.245732931726908,0.89367786860826,0.906211418597857,0.825989907719905,0.811352028218506,0.761452607444946,25.0,18.0,7.0,1200.0,0.448395490026019,0.925900186137651,,0.925900186137651,0.607812015576714,0.859309336673755,9.0,6.0,3.0,180.0,,,,,,,,,,,dgrp227_shock,dgrp227_shock_male,operant_place/20230424/csv/dgrp227_shock/male,20230424,riddha,True,0.0229796552666699,0.0365061470072917
3367,8,DGRP_319,F,operant_place,green,M,shock,1,11:00:00,13:02:54,0.0356602822580645,1.16484948993395,2.3614875787258,1.03121610389023,2.22593171335079,0.901344541367177,38.0,23.0,15.0,1200.0,0.266550522648084,1.84785651258989,,1.84785651258989,1.81223423263904,1.23168265963513,18.0,10.0,8.0,180.0,,,,,,,,,,,dgrp319_shock,dgrp319_shock_female,operant_place/20230424/csv/dgrp319_shock/female,20230424,riddha,True,0.22363417364609,0.206219519318228
3383,16,DGRP_319,M,operant_place,green,L,shock,1,11:00:00,13:02:54,0.217489919354839,1.77589540343108,2.04750967381454,1.33510272301579,1.40106689590601,1.17287017533527,76.0,47.0,29.0,1200.0,0.247386759581882,2.34388768322309,,2.34388768322309,1.65374687493538,1.89095398402474,21.0,15.0,6.0,180.0,,,,,,,,,,,dgrp319_shock,dgrp319_shock_male,operant_place/20230424/csv/dgrp319_shock/male,20230424,riddha,True,0.0418045365493163,0.0592191908771786
3431,8,DGRP_822,F,operant_place,green,M,shock,1,11:00:00,14:05:31,0.241548322231997,0.798288877620434,0.872065090290798,0.710721609866164,0.775785287108298,0.630066318011496,24.0,13.0,11.0,1200.0,0.350086655112652,1.1106283491854,,1.1106283491854,0.844025564012411,1.07218027377315,11.0,8.0,3.0,180.0,,,,,,,,,,,dgrp822_shock,dgrp822_shock_female,operant_place/20230424/csv/dgrp822_shock/female,20230424,riddha,True,0.0039177563031518,0.0130160050717083
3447,16,DGRP_822,M,operant_place,green,L,shock,1,11:00:00,14:05:31,0.290650917315909,1.28457493703755,0.94492428634458,1.31493523348234,0.818623771813072,1.23168355648361,60.0,46.0,14.0,1200.0,0.396357328707719,1.24366422362355,,1.24366422362355,0.648711105336379,1.16865444084558,11.0,7.0,4.0,180.0,,,,,,,,,,,dgrp822_shock,dgrp822_shock_male,operant_place/20230424/csv/dgrp822_shock/male,20230424,riddha,True,0.0451848387807597,0.0282510774058996
3496,33,DGRP_189,F,operant_place,green,R,shock,2,11:00:00,13:56:18,0.184925503943909,0.822545134355707,0.713208561900232,0.836376289333597,0.606059471981278,0.759863812138486,32.0,25.0,7.0,1200.0,0.104347826086957,0.971073383738885,,0.971073383738885,1.31403903456237,0.71853673890486,8.0,6.0,2.0,180.0,,,,,,,,,,,dgrp189_shock,dgrp189_shock_female,operant_place/20230428/csv/dgrp189_shock/female,20230428,riddha,True,0.0890284209933727,0.0866201469311683
3512,41,DGRP_189,M,operant_place,green,M,shock,2,11:00:00,13:56:18,0.0328074129727022,1.07610313576094,1.59087630219898,1.02019044185876,1.34885223307145,0.897194505576328,37.0,26.0,11.0,1200.0,0.245004344048653,1.94547291184533,,1.94547291184533,1.81652359104347,1.54006226899808,18.0,11.0,7.0,180.0,,,,,,,,,,,dgrp189_shock,dgrp189_shock_male,operant_place/20230428/csv/dgrp189_shock/male,20230428,riddha,True,0.241146511964579,0.243554786026784
3560,33,DGRP_801,F,operant_place,green,R,shock,1,11:00:00,12:44:14,0.0569135802469136,1.00621164912745,1.44419124194265,0.944320933278099,1.04953381689233,0.82163380243122,38.0,33.0,5.0,1200.0,0.182287188306105,2.1690595271483,,2.1690595271483,1.61940831841154,2.01778077453476,24.0,18.0,6.0,180.0,,,,,,,,,,,dgrp801_shock,dgrp801_shock_female,operant_place/20230428/csv/dgrp801_shock/female,20230428,riddha,True,0.17186163557576,0.170326707328719
3576,41,DGRP_801,M,operant_place,green,M,shock,2,11:00:00,12:44:14,0.185948882578096,0.620548420312166,0.813885763686978,0.533656373054017,0.712424433721452,0.447198798283662,23.0,15.0,8.0,1200.0,0.325021496130696,2.17209267034831,,2.17209267034831,2.03261916214664,1.50923813972964,21.0,14.0,7.0,180.0,,,,,,,,,,,dgrp801_shock,dgrp801_shock_male,operant_place/20230428/csv/dgrp801_shock/male,20230428,riddha,True,0.0428263332445777,0.0443612614916187
3624,33,DGRP_805,F,operant_place,green,R,shock,2,16:00:00,16:29:14,0.24930078820239,1.61997490404766,1.41345582456566,1.64244444837086,1.23210032067571,1.53368558429854,68.0,46.0,22.0,1200.0,0.310679611650485,2.21428307200474,,2.21428307200474,1.61200429869207,2.42536798952889,23.0,15.0,8.0,180.0,,,,,,,,,,,dgrp805_shock,dgrp805_shock_female,operant_place/20230428/csv/dgrp805_shock/female,20230428,riddha,True,0.014905886522904,0.0142737724557392
3640,41,DGRP_805,M,operant_place,green,M,shock,2,16:00:00,16:29:14,0.459699974574116,1.25381719503444,1.02882493569103,1.30027858229952,0.943785547473522,1.09138513530735,45.0,27.0,18.0,1200.0,0.255075022065313,2.45017081613274,,2.45017081613274,2.44369008162834,1.69408173136898,21.0,13.0,8.0,180.0,,,,,,,,,,,dgrp805_shock,dgrp805_shock_male,operant_place/20230428/csv/dgrp805_shock/male,20230428,riddha,True,0.195493299848822,0.166313640870179
3688,33,DGRP_892,F,operant_place,green,R,shock,2,11:00:00,14:53:53,0.153902888752305,1.86362503625236,1.65004785510492,1.81049444922285,1.27982087049987,1.65573073811358,86.0,67.0,19.0,1200.0,0.0365335598980459,2.30449604561307,,2.30449604561307,3.1247085181293,2.27087017711013,19.0,16.0,3.0,180.0,,,,,,,,,,,dgrp892_shock,dgrp892_shock_female,operant_place/20230428/csv/dgrp892_shock/female,20230428,riddha,True,0.137351347077145,0.135511344628511
3704,41,DGRP_892,M,operant_place,green,M,shock,2,11:00:00,14:53:53,0.316203589869683,2.17036305669736,1.94586742541966,2.0190529286173,1.87575660139329,1.59459549784525,110.0,69.0,41.0,1200.0,0.429056924384027,2.72507734393439,,2.72507734393439,2.36575550180252,2.39600767197667,21.0,11.0,10.0,180.0,,,,,,,,,,,dgrp892_shock,dgrp892_shock_male,operant_place/20230428/csv/dgrp892_shock/male,20230428,riddha,True,0.024949354040233,0.0231093515915987
3748,5,DGRP_093,F,operant_place,green,M,shock,1,11:00:00,12:00:44,0.449298746431674,1.46776047185913,1.30797266378081,1.37327009840462,1.29413030096621,1.07843937668881,45.0,29.0,16.0,1200.0,0.619827586206897,1.6589574029892,,1.6589574029892,1.49225652746427,1.4896862921239,11.0,6.0,5.0,180.0,,,,,,,,,,,dgrp93_shock,dgrp93_shock_female,operant_place/20230609/csv/dgrp93_shock/female,20230609,riddha,True,0.154203832378496,0.137036887348782
3764,13,DGRP_093,M,operant_place,green,L,shock,1,11:00:00,12:00:44,0.253195978652104,1.84169336329922,1.68030847681609,1.77958073402097,1.46938415271637,1.78678886166285,70.0,55.0,15.0,1200.0,0.382556131260794,2.46070627881505,,2.46070627881505,1.6794450800444,2.14119014213179,19.0,13.0,6.0,180.0,,,,,,,,,,,dgrp93_shock,dgrp93_shock_male,operant_place/20230609/csv/dgrp93_shock/male,20230609,riddha,True,0.0418989354010746,0.0247319903713605
3816,33,DGRP_217,F,operant_place,green,R,shock,2,16:00:00,17:51:18,0.0342491068128619,0.528200284253264,1.70236911152004,0.455878154916319,1.21089486702343,0.370359214899373,23.0,16.0,7.0,1200.0,0.129452649869679,1.60127816413469,,1.60127816413469,2.52081660275018,1.18418056117786,14.0,8.0,6.0,180.0,,,,,,,,,,,dgrp217_shock,dgrp217_shock_female,operant_place/20230612/csv/dgrp217_shock/female,20230612,riddha,True,0.184793506224699,0.182215405334897
